"id","scientific","english","region","abundance_estimate","abundance_lower","abundance_upper","density_estimate","density_lower","density_upper","areakmsq"
"ALFL","Empidonax alnorum","Alder Flycatcher","Canada",67.5,65.3,69.3,0.109,0.105,0.112,6.21
"ALFL","Empidonax alnorum","Alder Flycatcher","4 Northwestern Interior Forest",5.06,4.89,5.52,0.0927,0.0896,0.101,0.546
"ALFL","Empidonax alnorum","Alder Flycatcher","5 Northern Pacific Rainforest",0.206,0.178,0.238,0.0152,0.0131,0.0175,0.136
"ALFL","Empidonax alnorum","Alder Flycatcher","6 Boreal Taiga Plains",12.6,12.1,13.3,0.107,0.102,0.112,1.18
"ALFL","Empidonax alnorum","Alder Flycatcher","7 Taiga Shield & Hudson Plains",18.1,16.3,19.6,0.122,0.11,0.132,1.49
"ALFL","Empidonax alnorum","Alder Flycatcher","8 Boreal Softwood Shield",19.2,18.4,19.7,0.146,0.14,0.15,1.32
"ALFL","Empidonax alnorum","Alder Flycatcher","9 Great Basin",0.0594,0.0451,0.0693,0.0108,0.0082,0.0126,0.0552
"ALFL","Empidonax alnorum","Alder Flycatcher","10 Northern Rockies",1.66,1.55,1.75,0.0444,0.0416,0.0469,0.372
"ALFL","Empidonax alnorum","Alder Flycatcher","11 Prairie Potholes",1.26,1.2,1.37,0.0285,0.0269,0.0309,0.444
"ALFL","Empidonax alnorum","Alder Flycatcher","12 Boreal Hardwood Transition",4.25,4.05,4.35,0.114,0.109,0.116,0.373
"ALFL","Empidonax alnorum","Alder Flycatcher","13 Lower Great Lakes/St. Lawrence Plain",0.653,0.621,0.689,0.0641,0.061,0.0677,0.102
"ALFL","Empidonax alnorum","Alder Flycatcher","14 Atlantic Northern Forest",4.54,4.33,4.74,0.233,0.222,0.243,0.195
"ALFL","Empidonax alnorum","Alder Flycatcher","6-0 Boreal Taiga Plains, South",7.16,6.84,7.48,0.0947,0.0905,0.099,0.756
"ALFL","Empidonax alnorum","Alder Flycatcher","6-1 Boreal Taiga Plains, North",5.53,5.03,6,0.129,0.118,0.14,0.428
"ALFL","Empidonax alnorum","Alder Flycatcher","7-0 Taiga Shield & Hudson Plains, West",4.84,4.27,5.71,0.0863,0.0761,0.102,0.561
"ALFL","Empidonax alnorum","Alder Flycatcher","7-1 Taiga Shield & Hudson Plains, East",13.1,11.5,14.3,0.142,0.124,0.155,0.925
"ALFL","Empidonax alnorum","Alder Flycatcher","8-0 Boreal Softwood Shield, West",4.2,3.99,4.54,0.121,0.114,0.13,0.348
"ALFL","Empidonax alnorum","Alder Flycatcher","8-1 Boreal Softwood Shield, Ontario",5.55,5.31,5.91,0.141,0.134,0.15,0.395
"ALFL","Empidonax alnorum","Alder Flycatcher","8-2 Boreal Softwood Shield, East",8.91,8.54,9.27,0.188,0.18,0.196,0.473
"ALFL","Empidonax alnorum","Alder Flycatcher","8-3 Boreal Softwood Shield, Newfoundland",0.276,0.181,0.437,0.0292,0.0192,0.0463,0.0945
"AMCR","Corvus brachyrhynchos","American Crow","Canada",16.6,16.4,17.2,0.0267,0.0263,0.0276,6.21
"AMCR","Corvus brachyrhynchos","American Crow","4 Northwestern Interior Forest",0.0673,0.0507,0.0945,0.0012,9e-04,0.0017,0.546
"AMCR","Corvus brachyrhynchos","American Crow","5 Northern Pacific Rainforest",0.102,0.091,0.123,0.0075,0.0067,0.009,0.136
"AMCR","Corvus brachyrhynchos","American Crow","6 Boreal Taiga Plains",2.11,2.01,2.18,0.0178,0.017,0.0184,1.18
"AMCR","Corvus brachyrhynchos","American Crow","7 Taiga Shield & Hudson Plains",1.07,0.956,1.29,0.0072,0.0064,0.0087,1.49
"AMCR","Corvus brachyrhynchos","American Crow","8 Boreal Softwood Shield",4.01,3.74,4.28,0.0305,0.0284,0.0325,1.32
"AMCR","Corvus brachyrhynchos","American Crow","9 Great Basin",0.0993,0.0917,0.104,0.018,0.0166,0.0188,0.0552
"AMCR","Corvus brachyrhynchos","American Crow","10 Northern Rockies",0.62,0.584,0.656,0.0167,0.0157,0.0176,0.372
"AMCR","Corvus brachyrhynchos","American Crow","11 Prairie Potholes",2.91,2.84,3,0.0656,0.0641,0.0677,0.444
"AMCR","Corvus brachyrhynchos","American Crow","12 Boreal Hardwood Transition",2.35,2.29,2.49,0.0629,0.0613,0.0667,0.373
"AMCR","Corvus brachyrhynchos","American Crow","13 Lower Great Lakes/St. Lawrence Plain",1.46,1.38,1.51,0.143,0.136,0.148,0.102
"AMCR","Corvus brachyrhynchos","American Crow","14 Atlantic Northern Forest",1.81,1.7,1.9,0.0928,0.0874,0.0974,0.195
"AMCR","Corvus brachyrhynchos","American Crow","6-0 Boreal Taiga Plains, South",2.09,1.98,2.15,0.0276,0.0262,0.0284,0.756
"AMCR","Corvus brachyrhynchos","American Crow","6-1 Boreal Taiga Plains, North",0.0358,0.0191,0.0535,8e-04,4e-04,0.0013,0.428
"AMCR","Corvus brachyrhynchos","American Crow","7-0 Taiga Shield & Hudson Plains, West",0.17,0.118,0.246,0.003,0.0021,0.0044,0.561
"AMCR","Corvus brachyrhynchos","American Crow","7-1 Taiga Shield & Hudson Plains, East",0.891,0.792,1.12,0.0096,0.0086,0.0121,0.925
"AMCR","Corvus brachyrhynchos","American Crow","8-0 Boreal Softwood Shield, West",0.768,0.68,0.845,0.022,0.0195,0.0242,0.348
"AMCR","Corvus brachyrhynchos","American Crow","8-1 Boreal Softwood Shield, Ontario",1.18,1.08,1.29,0.0298,0.0274,0.0326,0.395
"AMCR","Corvus brachyrhynchos","American Crow","8-2 Boreal Softwood Shield, East",1.33,1.24,1.5,0.0282,0.0263,0.0318,0.473
"AMCR","Corvus brachyrhynchos","American Crow","8-3 Boreal Softwood Shield, Newfoundland",0.703,0.59,0.76,0.0744,0.0625,0.0804,0.0945
"AMGO","Spinus tristis","American Goldfinch","Canada",45.1,43.8,46.6,0.0725,0.0705,0.075,6.21
"AMGO","Spinus tristis","American Goldfinch","4 Northwestern Interior Forest",0.124,0.0746,0.166,0.0023,0.0014,0.003,0.546
"AMGO","Spinus tristis","American Goldfinch","5 Northern Pacific Rainforest",0.41,0.334,0.464,0.0301,0.0245,0.034,0.136
"AMGO","Spinus tristis","American Goldfinch","6 Boreal Taiga Plains",7,6.63,7.51,0.0592,0.056,0.0634,1.18
"AMGO","Spinus tristis","American Goldfinch","7 Taiga Shield & Hudson Plains",0.935,0.609,1.3,0.0063,0.0041,0.0087,1.49
"AMGO","Spinus tristis","American Goldfinch","8 Boreal Softwood Shield",7.61,6.87,8.51,0.0578,0.0522,0.0646,1.32
"AMGO","Spinus tristis","American Goldfinch","9 Great Basin",0.202,0.18,0.234,0.0367,0.0327,0.0424,0.0552
"AMGO","Spinus tristis","American Goldfinch","10 Northern Rockies",0.914,0.79,1.08,0.0245,0.0212,0.0289,0.372
"AMGO","Spinus tristis","American Goldfinch","11 Prairie Potholes",8.88,8.62,9.32,0.2,0.194,0.21,0.444
"AMGO","Spinus tristis","American Goldfinch","12 Boreal Hardwood Transition",7.86,7.37,8.38,0.21,0.197,0.225,0.373
"AMGO","Spinus tristis","American Goldfinch","13 Lower Great Lakes/St. Lawrence Plain",5.09,4.79,5.56,0.5,0.471,0.546,0.102
"AMGO","Spinus tristis","American Goldfinch","14 Atlantic Northern Forest",6.02,5.85,6.32,0.309,0.3,0.324,0.195
"AMGO","Spinus tristis","American Goldfinch","6-0 Boreal Taiga Plains, South",6.91,6.52,7.39,0.0915,0.0863,0.0977,0.756
"AMGO","Spinus tristis","American Goldfinch","6-1 Boreal Taiga Plains, North",0.106,0.0462,0.189,0.0025,0.0011,0.0044,0.428
"AMGO","Spinus tristis","American Goldfinch","7-0 Taiga Shield & Hudson Plains, West",0.288,0.163,0.424,0.0051,0.0029,0.0076,0.561
"AMGO","Spinus tristis","American Goldfinch","7-1 Taiga Shield & Hudson Plains, East",0.641,0.285,0.963,0.0069,0.0031,0.0104,0.925
"AMGO","Spinus tristis","American Goldfinch","8-0 Boreal Softwood Shield, West",2.05,1.76,2.35,0.0589,0.0505,0.0674,0.348
"AMGO","Spinus tristis","American Goldfinch","8-1 Boreal Softwood Shield, Ontario",2.27,1.93,2.73,0.0575,0.0489,0.0691,0.395
"AMGO","Spinus tristis","American Goldfinch","8-2 Boreal Softwood Shield, East",2.84,2.5,3.28,0.06,0.0529,0.0693,0.473
"AMGO","Spinus tristis","American Goldfinch","8-3 Boreal Softwood Shield, Newfoundland",0.32,0.233,0.418,0.0339,0.0247,0.0443,0.0945
"AMPI","Anthus rubescens","American Pipit","Canada",0.172,0.0438,0.377,3e-04,1e-04,6e-04,6.21
"AMPI","Anthus rubescens","American Pipit","4 Northwestern Interior Forest",0.0255,0.0056,0.105,5e-04,1e-04,0.0019,0.546
"AMPI","Anthus rubescens","American Pipit","5 Northern Pacific Rainforest",5e-04,1e-04,0.0022,0,0,2e-04,0.136
"AMPI","Anthus rubescens","American Pipit","6 Boreal Taiga Plains",0.0024,3e-04,0.0075,0,0,1e-04,1.18
"AMPI","Anthus rubescens","American Pipit","7 Taiga Shield & Hudson Plains",0.0985,0.0121,0.32,7e-04,1e-04,0.0021,1.49
"AMPI","Anthus rubescens","American Pipit","8 Boreal Softwood Shield",0.001,2e-04,0.0037,0,0,0,1.32
"AMPI","Anthus rubescens","American Pipit","9 Great Basin",0,0,2e-04,0,0,0,0.0552
"AMPI","Anthus rubescens","American Pipit","10 Northern Rockies",0.0019,2e-04,0.0118,1e-04,0,3e-04,0.372
"AMPI","Anthus rubescens","American Pipit","11 Prairie Potholes",0.0014,0,0.0036,0,0,1e-04,0.444
"AMPI","Anthus rubescens","American Pipit","12 Boreal Hardwood Transition",6e-04,0,0.0015,0,0,0,0.373
"AMPI","Anthus rubescens","American Pipit","13 Lower Great Lakes/St. Lawrence Plain",0,0,1e-04,0,0,0,0.102
"AMPI","Anthus rubescens","American Pipit","14 Atlantic Northern Forest",0,0,0,0,0,0,0.195
"AMPI","Anthus rubescens","American Pipit","6-0 Boreal Taiga Plains, South",5e-04,0,0.0012,0,0,0,0.756
"AMPI","Anthus rubescens","American Pipit","6-1 Boreal Taiga Plains, North",0.0017,2e-04,0.0065,0,0,2e-04,0.428
"AMPI","Anthus rubescens","American Pipit","7-0 Taiga Shield & Hudson Plains, West",0.036,8e-04,0.115,6e-04,0,0.0021,0.561
"AMPI","Anthus rubescens","American Pipit","7-1 Taiga Shield & Hudson Plains, East",0.0464,0.0013,0.225,5e-04,0,0.0024,0.925
"AMPI","Anthus rubescens","American Pipit","8-0 Boreal Softwood Shield, West",7e-04,0,0.0035,0,0,1e-04,0.348
"AMPI","Anthus rubescens","American Pipit","8-1 Boreal Softwood Shield, Ontario",1e-04,0,3e-04,0,0,0,0.395
"AMPI","Anthus rubescens","American Pipit","8-2 Boreal Softwood Shield, East",1e-04,0,1e-04,0,0,0,0.473
"AMPI","Anthus rubescens","American Pipit","8-3 Boreal Softwood Shield, Newfoundland",0,0,6e-04,0,0,1e-04,0.0945
"AMRE","Setophaga ruticilla","American Redstart","Canada",54.9,53.5,56.2,0.0883,0.0861,0.0904,6.21
"AMRE","Setophaga ruticilla","American Redstart","4 Northwestern Interior Forest",2.42,2.17,2.86,0.0443,0.0398,0.0523,0.546
"AMRE","Setophaga ruticilla","American Redstart","5 Northern Pacific Rainforest",0.76,0.677,0.82,0.0558,0.0497,0.0602,0.136
"AMRE","Setophaga ruticilla","American Redstart","6 Boreal Taiga Plains",8.7,8.24,9.04,0.0735,0.0696,0.0763,1.18
"AMRE","Setophaga ruticilla","American Redstart","7 Taiga Shield & Hudson Plains",4.88,4.08,5.65,0.0327,0.0274,0.0379,1.49
"AMRE","Setophaga ruticilla","American Redstart","8 Boreal Softwood Shield",14.7,14.2,15.5,0.112,0.108,0.118,1.32
"AMRE","Setophaga ruticilla","American Redstart","9 Great Basin",0.239,0.154,0.272,0.0433,0.0279,0.0493,0.0552
"AMRE","Setophaga ruticilla","American Redstart","10 Northern Rockies",4.48,4.14,4.97,0.12,0.111,0.134,0.372
"AMRE","Setophaga ruticilla","American Redstart","11 Prairie Potholes",2.06,1.89,2.18,0.0464,0.0426,0.0491,0.444
"AMRE","Setophaga ruticilla","American Redstart","12 Boreal Hardwood Transition",8.05,7.86,8.22,0.216,0.21,0.22,0.373
"AMRE","Setophaga ruticilla","American Redstart","13 Lower Great Lakes/St. Lawrence Plain",1.16,1.12,1.2,0.114,0.11,0.118,0.102
"AMRE","Setophaga ruticilla","American Redstart","14 Atlantic Northern Forest",7.33,6.97,7.77,0.376,0.358,0.399,0.195
"AMRE","Setophaga ruticilla","American Redstart","6-0 Boreal Taiga Plains, South",6.9,6.51,7.17,0.0913,0.0861,0.0948,0.756
"AMRE","Setophaga ruticilla","American Redstart","6-1 Boreal Taiga Plains, North",1.8,1.51,2.06,0.0422,0.0352,0.0481,0.428
"AMRE","Setophaga ruticilla","American Redstart","7-0 Taiga Shield & Hudson Plains, West",0.54,0.443,0.775,0.0096,0.0079,0.0138,0.561
"AMRE","Setophaga ruticilla","American Redstart","7-1 Taiga Shield & Hudson Plains, East",4.25,3.42,4.95,0.0459,0.037,0.0535,0.925
"AMRE","Setophaga ruticilla","American Redstart","8-0 Boreal Softwood Shield, West",1.73,1.5,1.89,0.0496,0.0432,0.0542,0.348
"AMRE","Setophaga ruticilla","American Redstart","8-1 Boreal Softwood Shield, Ontario",5.69,5.37,5.94,0.144,0.136,0.15,0.395
"AMRE","Setophaga ruticilla","American Redstart","8-2 Boreal Softwood Shield, East",6.58,6.12,7.15,0.139,0.129,0.151,0.473
"AMRE","Setophaga ruticilla","American Redstart","8-3 Boreal Softwood Shield, Newfoundland",0.72,0.584,0.836,0.0763,0.0619,0.0886,0.0945
"AMRO","Turdus migratorius","American Robin","Canada",153,150,156,0.246,0.241,0.251,6.21
"AMRO","Turdus migratorius","American Robin","4 Northwestern Interior Forest",11.3,10.7,12.1,0.207,0.197,0.221,0.546
"AMRO","Turdus migratorius","American Robin","5 Northern Pacific Rainforest",6.42,6.16,6.6,0.472,0.452,0.484,0.136
"AMRO","Turdus migratorius","American Robin","6 Boreal Taiga Plains",19.2,18.3,19.9,0.162,0.154,0.168,1.18
"AMRO","Turdus migratorius","American Robin","7 Taiga Shield & Hudson Plains",26.7,25.2,28.4,0.179,0.169,0.19,1.49
"AMRO","Turdus migratorius","American Robin","8 Boreal Softwood Shield",34.4,33.3,35.2,0.261,0.253,0.267,1.32
"AMRO","Turdus migratorius","American Robin","9 Great Basin",2.38,2.35,2.46,0.432,0.425,0.445,0.0552
"AMRO","Turdus migratorius","American Robin","10 Northern Rockies",12.7,12.4,13,0.34,0.332,0.349,0.372
"AMRO","Turdus migratorius","American Robin","11 Prairie Potholes",7.96,7.66,8.29,0.18,0.173,0.187,0.444
"AMRO","Turdus migratorius","American Robin","12 Boreal Hardwood Transition",12.7,12.3,13,0.34,0.331,0.348,0.373
"AMRO","Turdus migratorius","American Robin","13 Lower Great Lakes/St. Lawrence Plain",6.8,6.55,7.13,0.668,0.644,0.7,0.102
"AMRO","Turdus migratorius","American Robin","14 Atlantic Northern Forest",12.5,11.9,12.8,0.641,0.612,0.656,0.195
"AMRO","Turdus migratorius","American Robin","6-0 Boreal Taiga Plains, South",11.9,11.6,12.3,0.158,0.154,0.163,0.756
"AMRO","Turdus migratorius","American Robin","6-1 Boreal Taiga Plains, North",7.29,6.32,7.78,0.17,0.148,0.182,0.428
"AMRO","Turdus migratorius","American Robin","7-0 Taiga Shield & Hudson Plains, West",10,9.11,10.9,0.179,0.162,0.194,0.561
"AMRO","Turdus migratorius","American Robin","7-1 Taiga Shield & Hudson Plains, East",16.7,15.7,18.4,0.18,0.17,0.199,0.925
"AMRO","Turdus migratorius","American Robin","8-0 Boreal Softwood Shield, West",5.08,4.82,5.42,0.146,0.138,0.156,0.348
"AMRO","Turdus migratorius","American Robin","8-1 Boreal Softwood Shield, Ontario",7.61,7.21,8.08,0.193,0.182,0.204,0.395
"AMRO","Turdus migratorius","American Robin","8-2 Boreal Softwood Shield, East",11.9,11.5,12.4,0.251,0.243,0.262,0.473
"AMRO","Turdus migratorius","American Robin","8-3 Boreal Softwood Shield, Newfoundland",9.41,8.54,10.3,0.997,0.904,1.09,0.0945
"ATSP","Spizella arborea","American Tree Sparrow","Canada",7.28,6.28,8.22,0.0117,0.0101,0.0132,6.21
"ATSP","Spizella arborea","American Tree Sparrow","4 Northwestern Interior Forest",1.91,1.34,2.43,0.0349,0.0246,0.0445,0.546
"ATSP","Spizella arborea","American Tree Sparrow","5 Northern Pacific Rainforest",0.0422,0.0267,0.0589,0.0031,0.002,0.0043,0.136
"ATSP","Spizella arborea","American Tree Sparrow","6 Boreal Taiga Plains",1.25,1,1.55,0.0105,0.0085,0.0131,1.18
"ATSP","Spizella arborea","American Tree Sparrow","7 Taiga Shield & Hudson Plains",3.93,3.44,4.4,0.0264,0.0231,0.0295,1.49
"ATSP","Spizella arborea","American Tree Sparrow","8 Boreal Softwood Shield",0.0849,0.0324,0.133,6e-04,2e-04,0.001,1.32
"ATSP","Spizella arborea","American Tree Sparrow","9 Great Basin",0.0017,3e-04,0.0045,3e-04,1e-04,8e-04,0.0552
"ATSP","Spizella arborea","American Tree Sparrow","10 Northern Rockies",0.0375,0.0184,0.0541,0.001,5e-04,0.0015,0.372
"ATSP","Spizella arborea","American Tree Sparrow","11 Prairie Potholes",8e-04,0,0.0019,0,0,0,0.444
"ATSP","Spizella arborea","American Tree Sparrow","12 Boreal Hardwood Transition",3e-04,1e-04,8e-04,0,0,0,0.373
"ATSP","Spizella arborea","American Tree Sparrow","13 Lower Great Lakes/St. Lawrence Plain",0,0,0,0,0,0,0.102
"ATSP","Spizella arborea","American Tree Sparrow","14 Atlantic Northern Forest",0,0,0,0,0,0,0.195
"ATSP","Spizella arborea","American Tree Sparrow","6-0 Boreal Taiga Plains, South",0.0553,0.0333,0.0904,7e-04,4e-04,0.0012,0.756
"ATSP","Spizella arborea","American Tree Sparrow","6-1 Boreal Taiga Plains, North",1.17,0.95,1.5,0.0274,0.0222,0.0349,0.428
"ATSP","Spizella arborea","American Tree Sparrow","7-0 Taiga Shield & Hudson Plains, West",3.69,3.21,4.15,0.0657,0.0572,0.074,0.561
"ATSP","Spizella arborea","American Tree Sparrow","7-1 Taiga Shield & Hudson Plains, East",0.216,0.056,0.429,0.0023,6e-04,0.0046,0.925
"ATSP","Spizella arborea","American Tree Sparrow","8-0 Boreal Softwood Shield, West",0.0663,0.0251,0.108,0.0019,7e-04,0.0031,0.348
"ATSP","Spizella arborea","American Tree Sparrow","8-1 Boreal Softwood Shield, Ontario",0.0041,0.001,0.0119,1e-04,0,3e-04,0.395
"ATSP","Spizella arborea","American Tree Sparrow","8-2 Boreal Softwood Shield, East",0.006,0.0011,0.0225,1e-04,0,5e-04,0.473
"ATSP","Spizella arborea","American Tree Sparrow","8-3 Boreal Softwood Shield, Newfoundland",0,0,1e-04,0,0,0,0.0945
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","Canada",1.55,1.38,1.85,0.0025,0.0022,0.003,6.21
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","4 Northwestern Interior Forest",0.495,0.427,0.721,0.0091,0.0078,0.0132,0.546
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","5 Northern Pacific Rainforest",0.0669,0.055,0.0803,0.0049,0.004,0.0059,0.136
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","6 Boreal Taiga Plains",0.303,0.213,0.375,0.0026,0.0018,0.0032,1.18
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","7 Taiga Shield & Hudson Plains",0.125,0.0704,0.395,8e-04,5e-04,0.0027,1.49
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","8 Boreal Softwood Shield",0.0984,0.0613,0.137,7e-04,5e-04,0.001,1.32
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","9 Great Basin",0.0269,0.0179,0.0324,0.0049,0.0032,0.0059,0.0552
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","10 Northern Rockies",0.365,0.32,0.426,0.0098,0.0086,0.0114,0.372
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","11 Prairie Potholes",0.0146,0.007,0.0224,3e-04,2e-04,5e-04,0.444
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","12 Boreal Hardwood Transition",0.0053,0.0032,0.0089,1e-04,1e-04,2e-04,0.373
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","13 Lower Great Lakes/St. Lawrence Plain",4e-04,2e-04,7e-04,0,0,1e-04,0.102
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","14 Atlantic Northern Forest",0.0045,0.0016,0.0074,2e-04,1e-04,4e-04,0.195
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","6-0 Boreal Taiga Plains, South",0.176,0.144,0.214,0.0023,0.0019,0.0028,0.756
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","6-1 Boreal Taiga Plains, North",0.11,0.0538,0.182,0.0026,0.0013,0.0042,0.428
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","7-0 Taiga Shield & Hudson Plains, West",0.0766,0.0419,0.147,0.0014,7e-04,0.0026,0.561
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","7-1 Taiga Shield & Hudson Plains, East",0.0553,0.0101,0.295,6e-04,1e-04,0.0032,0.925
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","8-0 Boreal Softwood Shield, West",0.0372,0.0145,0.0543,0.0011,4e-04,0.0016,0.348
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","8-1 Boreal Softwood Shield, Ontario",0.003,0.0013,0.0163,1e-04,0,4e-04,0.395
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","8-2 Boreal Softwood Shield, East",0.055,0.0257,0.0905,0.0012,5e-04,0.0019,0.473
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","8-3 Boreal Softwood Shield, Newfoundland",4e-04,0,0.0034,0,0,4e-04,0.0945
"BANS","Riparia riparia","Bank Swallow","Canada",3.46,2.91,4.27,0.0056,0.0047,0.0069,6.21
"BANS","Riparia riparia","Bank Swallow","4 Northwestern Interior Forest",0.075,0.0195,0.183,0.0014,4e-04,0.0034,0.546
"BANS","Riparia riparia","Bank Swallow","5 Northern Pacific Rainforest",0.0292,0.0157,0.0446,0.0021,0.0012,0.0033,0.136
"BANS","Riparia riparia","Bank Swallow","6 Boreal Taiga Plains",0.65,0.472,0.846,0.0055,0.004,0.0072,1.18
"BANS","Riparia riparia","Bank Swallow","7 Taiga Shield & Hudson Plains",0.15,0.0631,0.282,0.001,4e-04,0.0019,1.49
"BANS","Riparia riparia","Bank Swallow","8 Boreal Softwood Shield",0.766,0.466,1.47,0.0058,0.0035,0.0112,1.32
"BANS","Riparia riparia","Bank Swallow","9 Great Basin",0.0317,0.0202,0.0421,0.0057,0.0037,0.0076,0.0552
"BANS","Riparia riparia","Bank Swallow","10 Northern Rockies",0.179,0.145,0.242,0.0048,0.0039,0.0065,0.372
"BANS","Riparia riparia","Bank Swallow","11 Prairie Potholes",0.65,0.422,0.841,0.0147,0.0095,0.019,0.444
"BANS","Riparia riparia","Bank Swallow","12 Boreal Hardwood Transition",0.382,0.302,0.455,0.0102,0.0081,0.0122,0.373
"BANS","Riparia riparia","Bank Swallow","13 Lower Great Lakes/St. Lawrence Plain",0.317,0.254,0.442,0.0311,0.0249,0.0434,0.102
"BANS","Riparia riparia","Bank Swallow","14 Atlantic Northern Forest",0.17,0.125,0.216,0.0087,0.0064,0.0111,0.195
"BANS","Riparia riparia","Bank Swallow","6-0 Boreal Taiga Plains, South",0.629,0.46,0.828,0.0083,0.0061,0.0109,0.756
"BANS","Riparia riparia","Bank Swallow","6-1 Boreal Taiga Plains, North",0.0166,0.0085,0.0317,4e-04,2e-04,7e-04,0.428
"BANS","Riparia riparia","Bank Swallow","7-0 Taiga Shield & Hudson Plains, West",0.0893,0.0325,0.241,0.0016,6e-04,0.0043,0.561
"BANS","Riparia riparia","Bank Swallow","7-1 Taiga Shield & Hudson Plains, East",0.0446,0.0177,0.0821,5e-04,2e-04,9e-04,0.925
"BANS","Riparia riparia","Bank Swallow","8-0 Boreal Softwood Shield, West",0.646,0.368,1.29,0.0185,0.0106,0.037,0.348
"BANS","Riparia riparia","Bank Swallow","8-1 Boreal Softwood Shield, Ontario",0.0636,0.0239,0.108,0.0016,6e-04,0.0027,0.395
"BANS","Riparia riparia","Bank Swallow","8-2 Boreal Softwood Shield, East",0.0653,0.0292,0.0964,0.0014,6e-04,0.002,0.473
"BANS","Riparia riparia","Bank Swallow","8-3 Boreal Softwood Shield, Newfoundland",2e-04,0,0.0014,0,0,1e-04,0.0945
"BAOR","Icterus galbula","Baltimore Oriole","Canada",3.84,3.69,4.02,0.0062,0.0059,0.0065,6.21
"BAOR","Icterus galbula","Baltimore Oriole","4 Northwestern Interior Forest",0.0061,0.003,0.0119,1e-04,1e-04,2e-04,0.546
"BAOR","Icterus galbula","Baltimore Oriole","5 Northern Pacific Rainforest",0.0013,4e-04,0.0026,1e-04,0,2e-04,0.136
"BAOR","Icterus galbula","Baltimore Oriole","6 Boreal Taiga Plains",0.836,0.762,0.9,0.0071,0.0064,0.0076,1.18
"BAOR","Icterus galbula","Baltimore Oriole","7 Taiga Shield & Hudson Plains",0.0244,0.0121,0.0441,2e-04,1e-04,3e-04,1.49
"BAOR","Icterus galbula","Baltimore Oriole","8 Boreal Softwood Shield",0.254,0.188,0.347,0.0019,0.0014,0.0026,1.32
"BAOR","Icterus galbula","Baltimore Oriole","9 Great Basin",0.0011,5e-04,0.002,2e-04,1e-04,4e-04,0.0552
"BAOR","Icterus galbula","Baltimore Oriole","10 Northern Rockies",0.0603,0.0367,0.0819,0.0016,0.001,0.0022,0.372
"BAOR","Icterus galbula","Baltimore Oriole","11 Prairie Potholes",1.3,1.23,1.37,0.0292,0.0277,0.0309,0.444
"BAOR","Icterus galbula","Baltimore Oriole","12 Boreal Hardwood Transition",0.531,0.466,0.576,0.0142,0.0125,0.0154,0.373
"BAOR","Icterus galbula","Baltimore Oriole","13 Lower Great Lakes/St. Lawrence Plain",0.652,0.622,0.671,0.0641,0.0611,0.0659,0.102
"BAOR","Icterus galbula","Baltimore Oriole","14 Atlantic Northern Forest",0.172,0.151,0.192,0.0088,0.0078,0.0099,0.195
"BAOR","Icterus galbula","Baltimore Oriole","6-0 Boreal Taiga Plains, South",0.83,0.753,0.886,0.011,0.01,0.0117,0.756
"BAOR","Icterus galbula","Baltimore Oriole","6-1 Boreal Taiga Plains, North",0.0101,0.0038,0.0198,2e-04,1e-04,5e-04,0.428
"BAOR","Icterus galbula","Baltimore Oriole","7-0 Taiga Shield & Hudson Plains, West",0.0223,0.0103,0.042,4e-04,2e-04,7e-04,0.561
"BAOR","Icterus galbula","Baltimore Oriole","7-1 Taiga Shield & Hudson Plains, East",0.002,9e-04,0.0054,0,0,1e-04,0.925
"BAOR","Icterus galbula","Baltimore Oriole","8-0 Boreal Softwood Shield, West",0.159,0.132,0.218,0.0046,0.0038,0.0063,0.348
"BAOR","Icterus galbula","Baltimore Oriole","8-1 Boreal Softwood Shield, Ontario",0.0577,0.0178,0.0886,0.0015,4e-04,0.0022,0.395
"BAOR","Icterus galbula","Baltimore Oriole","8-2 Boreal Softwood Shield, East",0.041,0.0206,0.0644,9e-04,4e-04,0.0014,0.473
"BAOR","Icterus galbula","Baltimore Oriole","8-3 Boreal Softwood Shield, Newfoundland",1e-04,0,3e-04,0,0,0,0.0945
"BARS","Hirundo rustica","Barn Swallow","Canada",20.1,19,21,0.0324,0.0305,0.0338,6.21
"BARS","Hirundo rustica","Barn Swallow","4 Northwestern Interior Forest",0.307,0.146,0.467,0.0056,0.0027,0.0086,0.546
