"id","scientific","english","region","landcover","estimate","lower","upper"
"YRWA","Setophaga coronata","Yellow-rumped Warbler","12 Boreal Hardwood Transition","Wetland",0.2386,0.2251,0.2543
"YRWA","Setophaga coronata","Yellow-rumped Warbler","12 Boreal Hardwood Transition","Cropland",0.0881,0.0771,0.0971
"YRWA","Setophaga coronata","Yellow-rumped Warbler","13 Lower Great Lakes/St. Lawrence Plain","Conifer",0.1258,0.1173,0.1421
"YRWA","Setophaga coronata","Yellow-rumped Warbler","13 Lower Great Lakes/St. Lawrence Plain","Deciduous",0.0655,0.0611,0.0692
"YRWA","Setophaga coronata","Yellow-rumped Warbler","13 Lower Great Lakes/St. Lawrence Plain","Mixedwood",0.1392,0.1323,0.1432
"YRWA","Setophaga coronata","Yellow-rumped Warbler","13 Lower Great Lakes/St. Lawrence Plain","Shrub",0.0803,0.0754,0.0836
"YRWA","Setophaga coronata","Yellow-rumped Warbler","13 Lower Great Lakes/St. Lawrence Plain","Grass",0.0495,0.0458,0.0526
"YRWA","Setophaga coronata","Yellow-rumped Warbler","13 Lower Great Lakes/St. Lawrence Plain","Arctic Shrub",0.0569,0.053,0.0608
"YRWA","Setophaga coronata","Yellow-rumped Warbler","13 Lower Great Lakes/St. Lawrence Plain","Arctic Grass",0.0725,0.0663,0.0781
"YRWA","Setophaga coronata","Yellow-rumped Warbler","13 Lower Great Lakes/St. Lawrence Plain","Wetland",0.0731,0.0694,0.0771
"YRWA","Setophaga coronata","Yellow-rumped Warbler","13 Lower Great Lakes/St. Lawrence Plain","Cropland",0.0521,0.0472,0.0552
"YRWA","Setophaga coronata","Yellow-rumped Warbler","14 Atlantic Northern Forest","Conifer",0.32,0.306,0.338
"YRWA","Setophaga coronata","Yellow-rumped Warbler","14 Atlantic Northern Forest","Deciduous",0.265,0.254,0.271
"YRWA","Setophaga coronata","Yellow-rumped Warbler","14 Atlantic Northern Forest","Mixedwood",0.31,0.3,0.322
"YRWA","Setophaga coronata","Yellow-rumped Warbler","14 Atlantic Northern Forest","Shrub",0.173,0.163,0.183
"YRWA","Setophaga coronata","Yellow-rumped Warbler","14 Atlantic Northern Forest","Grass",0.294,0.282,0.305
"YRWA","Setophaga coronata","Yellow-rumped Warbler","14 Atlantic Northern Forest","Arctic Shrub",0.253,0.232,0.272
